fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
manualdiscountamount,,,,PricebookEntry,,
metricid,,,,PricebookEntry,,
mimetype,,,,PricebookEntry,,
mobilephone,,,,PricebookEntry,,
modifiedby,,,,PricebookEntry,Last Modified By,LastModifiedById
modifiedon,,,,PricebookEntry,Last Modified Date,LastModifiedDate
name,,,,PricebookEntry,Name,Name
objectid,,,,PricebookEntry,,
objecttypecode,,,,PricebookEntry,,
opportunityid,,,,PricebookEntry,,
opportunityproductid,,,,PricebookEntry,,
originatingleadid,,,,PricebookEntry,,
ownerid,,,,PricebookEntry,,
parentaccountid,,,,PricebookEntry,,
parentcontactid,,,,PricebookEntry,,
parentcustomerid,,,,PricebookEntry,,
parentgoalid,,,,PricebookEntry,,
parentsystemuserid,,,,PricebookEntry,,
partyid,,,,PricebookEntry,,
phonenumber,,,,PricebookEntry,,
pricelevelid,,,,PricebookEntry,Price Book,Pricebook2Id
priceperunit,,,,PricebookEntry,,
primarycontactid,,,,PricebookEntry,,
prod.productid,,,,PricebookEntry,,
productdescription,,,,PricebookEntry,,
productid,,,,PricebookEntry,Product,Product2Id
productname,,,,PricebookEntry,,
productnumber,,,,PricebookEntry,,
productpricelevelid,,,,PricebookEntry,,
producttypecode,,,,PricebookEntry,,
quantity,,,,PricebookEntry,,
queryentitytype,,,,PricebookEntry,,
queueid,,,,PricebookEntry,,
queueitemid,,,,PricebookEntry,,
quotedetailid,,,,PricebookEntry,,
quoteid,,,,PricebookEntry,,
record1id,,,,PricebookEntry,,
record1roleid,,,,PricebookEntry,,
record2id,,,,PricebookEntry,,
record2roleid,,,,PricebookEntry,,
regardingobjectid,,,,PricebookEntry,,
requestdeliveryby,,,,PricebookEntry,,
roleid,,,,PricebookEntry,,
rolluponlyfromchildgoals,,,,PricebookEntry,,
rollupqueryactualmoneyid,,,,PricebookEntry,,
salesorderdetailid,,,,PricebookEntry,,
salesorderdetailname,,,,PricebookEntry,,
salesorderid,,,,PricebookEntry,,
salesrepid,,,,PricebookEntry,,
scheduledend,,,,PricebookEntry,,
shippingmethodcode,,,,PricebookEntry,,
shipto_line1,,,,PricebookEntry,,
shipto_line2,,,,PricebookEntry,,
shipto_line3,,,,PricebookEntry,,
shipto_name,,,,PricebookEntry,,
shipto_postalcode,,,,PricebookEntry,,
shipto_stateorprovince,,,,PricebookEntry,,
state,,,,PricebookEntry,,
statecode,,,,PricebookEntry,,
stateorprovince,,,,PricebookEntry,,
statuscode,,,,PricebookEntry,,
street,,,,PricebookEntry,,
subject,,,,PricebookEntry,,
systemuserid,,,,PricebookEntry,,
tax,,,,PricebookEntry,,
teamid,,,,PricebookEntry,,
