fieldName,sfObjectName,sfFieldDisplayName,sfFieldApiName,sfSuggestedObjectName,sfSuggestedFieldDisplayName,sfSuggestedFieldApiName
defaultuomid,,,,Pricebook2,,
description,,,,Pricebook2,Description,Description
discountamount,,,,Pricebook2,,
discountpercentage,,,,Pricebook2,,
emailaddress1,,,,Pricebook2,,
estimatedclosedate,,,,Pricebook2,,
estimatedvalue,,,,Pricebook2,,
ext_amt,,,,Pricebook2,,
extendedamount,,,,Pricebook2,,
fetchxml,,,,Pricebook2,,
filename,,,,Pricebook2,,
firstname,,,,Pricebook2,,
freightamount,,,,Pricebook2,,
freighttermscode,,,,Pricebook2,,
from,,,,Pricebook2,,
fullname,,,,Pricebook2,,
goalenddate,,,,Pricebook2,,
goalid,,,,Pricebook2,,
goalownerid,,,,Pricebook2,,
goalrollupqueryid,,,,Pricebook2,,
goalstartdate,,,,Pricebook2,,
incidentid,,,,Pricebook2,,
internalemailaddress,,,,Pricebook2,,
invline.productid,,,,Pricebook2,,
invoicedetailid,,,,Pricebook2,,
invoiceid,,,,Pricebook2,,
invoicenumber,,,,Pricebook2,,
isamount,,,,Pricebook2,,
isfiscalperiodgoal,,,,Pricebook2,,
isocurrencycode,,,,Pricebook2,,
ispriceoverridden,,,,Pricebook2,,
isproductoverridden,,,,Pricebook2,,
isrevenuesystemcalculated,,,,Pricebook2,,
jobtitle,,,,Pricebook2,,
lastname,,,,Pricebook2,,
manualdiscountamount,,,,Pricebook2,,
metricid,,,,Pricebook2,,
mimetype,,,,Pricebook2,,
mobilephone,,,,Pricebook2,,
modifiedby,,,,Pricebook2,Last Modified By,LastModifiedById
modifiedon,,,,Pricebook2,Last Modified Date,LastModifiedDate
name,,,,Pricebook2,Name,Name
objectid,,,,Pricebook2,,
objecttypecode,,,,Pricebook2,,
opportunityid,,,,Pricebook2,,
opportunityproductid,,,,Pricebook2,,
originatingleadid,,,,Pricebook2,,
ownerid,,,,Pricebook2,,
parentaccountid,,,,Pricebook2,,
parentcontactid,,,,Pricebook2,,
parentcustomerid,,,,Pricebook2,,
parentgoalid,,,,Pricebook2,,
parentsystemuserid,,,,Pricebook2,,
partyid,,,,Pricebook2,,
phonenumber,,,,Pricebook2,,
pricelevelid,,,,Pricebook2,,
pricelistitemsgrid,,,,Pricebook2,,
priceperunit,,,,Pricebook2,,
primarycontactid,,,,Pricebook2,,
prod.productid,,,,Pricebook2,,
productdescription,,,,Pricebook2,,
productid,,,,Pricebook2,,
productname,,,,Pricebook2,,
productnumber,,,,Pricebook2,,
producttypecode,,,,Pricebook2,,
quantity,,,,Pricebook2,,
queryentitytype,,,,Pricebook2,,
queueid,,,,Pricebook2,,
queueitemid,,,,Pricebook2,,
quotedetailid,,,,Pricebook2,,
quoteid,,,,Pricebook2,,
record1id,,,,Pricebook2,,
record1roleid,,,,Pricebook2,,
record2id,,,,Pricebook2,,
record2roleid,,,,Pricebook2,,
regardingobjectid,,,,Pricebook2,,
requestdeliveryby,,,,Pricebook2,,
roleid,,,,Pricebook2,,
rolluponlyfromchildgoals,,,,Pricebook2,,
rollupqueryactualmoneyid,,,,Pricebook2,,
salesorderdetailid,,,,Pricebook2,,
salesorderdetailname,,,,Pricebook2,,
salesorderid,,,,Pricebook2,,
salesrepid,,,,Pricebook2,,
scheduledend,,,,Pricebook2,,
shippingmethodcode,,,,Pricebook2,,
shipto_line1,,,,Pricebook2,,
shipto_line2,,,,Pricebook2,,
shipto_line3,,,,Pricebook2,,
shipto_name,,,,Pricebook2,,
shipto_postalcode,,,,Pricebook2,,
shipto_stateorprovince,,,,Pricebook2,,
state,,,,Pricebook2,,
statecode,,,,Pricebook2,,
stateorprovince,,,,Pricebook2,,
statuscode,,,,Pricebook2,,
street,,,,Pricebook2,,
subject,,,,Pricebook2,,
systemuserid,,,,Pricebook2,,
tax,,,,Pricebook2,,
teamid,,,,Pricebook2,,
teamtype,,,,Pricebook2,,
telephone1,,,,Pricebook2,,
title,,,,Pricebook2,,
tm.systemuserid,,,,Pricebook2,,
to,,,,Pricebook2,,
totalamount,,,,Pricebook2,,
transactioncurrencyid,,,,Pricebook2,,
uomid,,,,Pricebook2,,
value,,,,Pricebook2,,
zipcode,,,,Pricebook2,,
{0},,,,Pricebook2,,
